r;ampl5
1.203457E-3;-5.519954
0.1001445;-5.430274
0.2004398;-5.369377
0.3007899;-5.336449
0.4011657;-5.345332
0.5003425;-5.314392
0.6007252;-5.305963
0.7011043;-5.36313
0.8002653;-5.39476
0.9006251;-5.454226
1.00098;-5.461348
1.100116;-5.456989
1.200457;-5.566901
1.300795;-5.510426
1.40113;-5.536326
1.500255;-5.467398
1.60059;-5.63081
1.700924;-5.856022
1.80005;-5.886925
1.900385;-5.728602
2.000722;-5.647649
2.101061;-5.641746
2.200195;-5.480338
2.300537;-5.499683
2.400877;-5.434818
2.500016;-5.438819
2.600355;-5.451338
2.700701;-5.460418
2.801043;-5.483753
2.900177;-5.443353
3.000525;-5.404093
3.100868;-5.37547
3.200001;-5.361113
3.300341;-5.373083
3.400682;-5.379516
3.501021;-5.402982
3.600154;-5.404733
3.700492;-5.376849
3.80083;-5.412553
3.901164;-5.40989
4.000292;-5.421554
4.100627;-5.425142
4.20096;-5.464746
4.300082;-5.488097
4.400412;-5.441248
4.500744;-5.399489
4.601078;-5.409778
4.700198;-5.405936
4.800523;-5.406114
4.900858;-5.410242
5.001192;-5.39757
5.100311;-5.330127
5.200642;-5.320225
5.300978;-5.299529
5.400091;-5.307028
5.500429;-5.291399
5.60076;-5.275843
5.701091;-5.269179
5.80022;-5.248231
5.900544;-5.232447
6.000883;-5.209688
6.101206;-5.206833
6.200337;-5.195955
6.300664;-5.188629
6.401007;-5.213939
6.500115;-5.209561
6.600446;-5.231203
6.700768;-5.254992
6.801111;-5.293365
6.900225;-5.350869
7.00057;-5.444053
7.100899;-5.531
7.200026;-5.637771
7.300358;-5.863373
7.40068;-6.030049
7.501017;-6.086577
7.60013;-5.968941
7.700467;-5.896812
7.800794;-5.697506
7.901116;-5.596967
8.000241;-5.542879
8.100555;-5.502802
8.200881;-5.390526
8.300002;-5.40585
8.400319;-5.344727
8.50065;-5.32653
8.600978;-5.308778
8.700089;-5.276576
8.800423;-5.284072
8.900744;-5.240621
9.001057;-5.281416
9.10018;-5.290192
9.200502;-5.26526
9.300811;-5.279147
9.401139;-5.275016
9.500261;-5.284022
9.60057;-5.274806
9.700891;-5.275318
9.80001;-5.276302
9.900319;-5.275089
10.00063;-5.303178
10.10096;-5.321627
10.20007;-5.335647
10.30038;-5.380123
10.4007;-5.402433
10.50103;-5.433477
10.60013;-5.463604
10.70045;-5.487768
10.80076;-5.552623
10.90109;-5.608056
11.0002;-5.704515
11.10051;-5.751645
11.20084;-5.864828
11.30117;-5.795344
11.40026;-5.762325
11.50056;-5.64566
11.60087;-5.543793
11.7012;-5.42089
11.8003;-5.350487
11.90061;-5.297301
12.00092;-5.244122
12.10004;-5.183877
12.20035;-5.145977
12.30067;-5.114743
12.40097;-5.093775
12.50008;-5.073426
12.60041;-5.050562
12.70072;-5.049644
12.80102;-5.053785
12.90012;-5.057196
13.00044;-5.062388
13.10077;-5.086974
13.20108;-5.129839
13.30018;-5.160854
13.40048;-5.192962
13.5008;-5.228842
13.60111;-5.26821
13.70021;-5.327273
13.8005;-5.40622
13.90081;-5.423422
14.00111;-5.435164
14.1002;-5.434821
14.20051;-5.463458
14.30082;-5.447006
14.40112;-5.469287
14.50022;-5.485201
14.60054;-5.45654
14.70085;-5.461519
14.80116;-5.433657
14.90026;-5.444821
15.00056;-5.438792
15.10086;-5.406753
15.20115;-5.38892
15.30025;-5.362044
15.40055;-5.338764
15.50083;-5.311796
15.60113;-5.298325
15.70021;-5.26475
15.80052;-5.26326
15.90084;-5.258251
16.00112;-5.234042
16.10022;-5.267507
16.20053;-5.248162
16.30083;-5.253724
16.40114;-5.263287
16.50023;-5.261441
16.60053;-5.309903
16.70084;-5.33717
16.80113;-5.383004
16.90023;-5.401735
17.00053;-5.424453
17.10082;-5.484796
17.20112;-5.54924
17.3002;-5.604025
17.40049;-5.733462
17.50079;-5.678379
17.60109;-5.78446
17.70016;-5.791672
17.80046;-5.739016
17.90076;-5.666937
18.00105;-5.6211
18.10013;-5.535168
18.20043;-5.479573
18.30071;-5.493809
18.40102;-5.484195
18.50011;-5.445657
18.6004;-5.444584
18.70068;-5.437101
18.80097;-5.444407
18.90002;-5.470973
19.00027;-5.490818
19.10053;-5.510003
19.20078;-5.547442
19.30103;-5.557242
19.40011;-5.590098
19.50041;-5.564913
19.6007;-5.53758
19.70097;-5.539384
19.80005;-5.553018
19.90033;-5.553174
20.00063;-5.583531
20.10094;-5.692664
20.20004;-5.733392
20.30031;-6.017931
20.4006;-6.119002
20.50087;-5.949657
20.60112;-5.70951
20.70017;-5.505276
20.80044;-5.376079
20.90072;-5.281233
21.00099;-5.197457
21.10005;-5.129008
21.20032;-5.082317
21.30061;-5.037934
21.40088;-5.003883
21.50117;-4.981542
21.60025;-4.956485
21.70052;-4.937199
21.80079;-4.924945
21.90104;-4.909341
22.00009;-4.909446
22.10035;-4.906022
22.20062;-4.906614
22.30089;-4.913451
22.40114;-4.920239
22.50019;-4.92331
22.60043;-4.937392
22.7007;-4.95261
22.80096;-4.956601
22.9;-4.991186
23.00027;-5.006966
23.10054;-5.035196
23.20082;-5.057175
23.30108;-5.072967
23.4001;-5.116989
23.50036;-5.128559
23.60061;-5.18445
23.70087;-5.189176
23.8011;-5.234773
23.90013;-5.266771
24.00039;-5.299175
24.10064;-5.348319
24.20088;-5.361834
24.30112;-5.388215
24.40017;-5.453141
24.50045;-5.456906
24.60073;-5.489575
24.70094;-5.502613
24.80115;-5.581099
24.90016;-5.613703
25.00038;-5.615935
25.1006;-5.622886
25.20083;-5.628242
25.30106;-5.625741
25.40009;-5.667078
25.50033;-5.662582
25.6006;-5.675115
25.70084;-5.686167
25.80107;-5.625768
25.9001;-5.626205
26.00032;-5.593709
26.10055;-5.55108
26.20078;-5.555335
26.30099;-5.546567
26.4012;-5.548195
26.50022;-5.53445
26.60046;-5.528771
26.7007;-5.484528
26.80094;-5.507949
26.9012;-5.514339
27.00023;-5.57722
27.10047;-5.54393
27.20071;-5.578458
27.30094;-5.615998
27.40119;-5.623408
27.50021;-5.700515
27.60039;-5.797265
27.70057;-5.826765
27.80074;-5.822323
27.90085;-5.90732
28.00099;-6.065343
28.10116;-6.237356
28.20018;-6.341562
28.30041;-6.631266
28.40066;-6.810599
28.5009;-6.606622
28.60112;-6.591858
28.70014;-6.424975
28.80032;-6.09158
28.90048;-5.998641
29.00065;-5.95683
29.10086;-5.872026
29.20104;-5.921252
29.30117;-5.891545
29.40009;-5.907404
29.50018;-5.830619
29.6003;-5.871108
29.70047;-5.910281
29.8007;-5.949502
29.90093;-5.919721
30.00114;-5.955027
30.10015;-5.839508
30.20035;-5.745919
30.30054;-5.600001
30.40074;-5.547674
30.50092;-5.462503
30.60111;-5.407194
30.70009;-5.34401
30.80027;-5.245056
30.90043;-5.197904
31.00055;-5.142397
31.10065;-5.112406
31.20079;-5.089439
31.301;-5.040446
31.4012;-5.017091
31.50019;-4.9747
31.60038;-4.960817
31.70052;-4.93857
31.80066;-4.91265
31.90084;-4.908675
32.00102;-4.884489
32.10002;-4.878367
32.20023;-4.870925
32.30039;-4.857378
32.40051;-4.859909
32.50061;-4.853311
32.60076;-4.858981
32.70094;-4.857568
32.8011;-4.864673
32.90007;-4.875578
33.00024;-4.886048
33.10039;-4.891409
33.20053;-4.900202
33.30067;-4.924893
33.40084;-4.94153
33.50101;-4.956901
33.60119;-4.983104
33.70017;-5.004356
33.80035;-5.02623
33.90051;-5.057578
34.00064;-5.072923
34.10075;-5.103388
34.20085;-5.138207
34.30093;-5.168682
34.40104;-5.20315
34.50117;-5.244097
34.60012;-5.273463
34.70025;-5.333397
34.80033;-5.371895
34.90038;-5.424316
35.00046;-5.482368
35.10062;-5.574148
35.2008;-5.623583
35.30096;-5.688886
35.40107;-5.738878
35.50115;-5.842856
35.60119;-5.911801
35.70002;-5.83088
35.80007;-5.779756
35.90016;-5.712842
36.00022;-5.619707
36.10029;-5.578117
36.20039;-5.510219
36.30053;-5.4308
36.40066;-5.364319
36.50073;-5.328205
36.60076;-5.289476
36.70083;-5.222185
36.80097;-5.189178
36.90107;-5.157616
37.00116;-5.132471
37.1;-5.103693
37.20004;-5.098493
37.30006;-5.077909
37.40013;-5.070849
37.50021;-5.068918
37.60029;-5.062596
37.70039;-5.055255
37.8005;-5.044024
37.90056;-5.05648
38.00064;-5.052943
38.10073;-5.053695
38.20083;-5.052082
38.30088;-5.044662
38.40093;-5.046157
38.50099;-5.033087
38.60107;-5.047447
38.70118;-5.039236
38.80007;-5.031681
38.90016;-5.031772
39.00022;-5.036391
39.10017;-5.037644
39.20007;-5.040282
39.30003;-5.029598
39.40008;-5.032487
39.50012;-5.022987
39.60015;-5.04516
39.70019;-5.020576
39.80028;-5.015001
39.90034;-5.017196
40.0004;-5.003645
40.10043;-5.001921
40.20049;-4.989635
40.30054;-4.96617
40.40061;-4.953599
40.50071;-4.942224
40.60077;-4.928344
40.70079;-4.926112
40.80074;-4.92042
40.90064;-4.90071
41.00052;-4.898277
41.1005;-4.886619
41.20054;-4.885448
41.3006;-4.889934
41.40066;-4.883353
41.50071;-4.894397
41.60077;-4.883317
41.70081;-4.886346
41.80082;-4.889218
41.90086;-4.892193
42.00097;-4.896378
42.10103;-4.902791
42.20102;-4.910207
42.30092;-4.902637
42.40087;-4.917984
42.50084;-4.922624
42.60083;-4.928705
42.70086;-4.941014
42.80086;-4.945066
42.90087;-4.957939
43.00089;-4.973448
43.10092;-5.009474
43.20091;-5.03611
43.30089;-5.043756
43.40089;-5.081577
43.5009;-5.111439
43.60096;-5.166684
43.70106;-5.209125
43.80113;-5.261369
43.9012;-5.276085
44.00001;-5.351638
44.10112;-5.387887
44.20096;-5.455112
44.30082;-5.488517
44.40074;-5.47067
44.50075;-5.497929
44.60076;-5.415576
44.70079;-5.40176
44.80078;-5.352628
44.90072;-5.293365
45.00067;-5.26447
45.10067;-5.220418
45.20068;-5.171464
45.3007;-5.130865
45.40075;-5.097884
45.50083;-5.086397
45.60084;-5.064117
45.70081;-5.032366
45.80077;-5.016616
45.90076;-4.994215
46.00077;-4.976188
46.10075;-4.95091
46.20068;-4.94792
46.30062;-4.915799
46.40055;-4.915924
46.50042;-4.889627
46.60023;-4.868005
46.70007;-4.861741
46.80115;-4.840036
46.90104;-4.827432
47.001;-4.812186
47.10102;-4.788997
47.20102;-4.793763
47.30104;-4.767302
47.40101;-4.753556
47.50088;-4.746202
47.60072;-4.735822
47.70049;-4.719499
47.80028;-4.718476
47.90015;-4.722329
48.00003;-4.708627
48.10115;-4.714636
48.20112;-4.714685
48.30107;-4.716729
48.40093;-4.71647
48.50077;-4.726203
48.60061;-4.736739
48.70051;-4.739042
48.80046;-4.752423
48.90043;-4.760742
49.00039;-4.765518
49.10035;-4.787445
49.20023;-4.794315
49.3;-4.804993
49.40093;-4.826687
49.50066;-4.841992
49.60045;-4.85086
49.7003;-4.871452
49.80022;-4.886414
49.90015;-4.898008
50.00004;-4.924662
50.10108;-4.920805
50.20091;-4.953747
50.30082;-4.95826
50.4008;-4.959903
50.5008;-3.949945
50.60078;-3.948654
50.70073;-3.946804
50.80068;-3.944465
50.90061;-3.942788
